"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\kamil\Desktop\serious-game\game\src\entity\Player.java", "Java", 0, 3, 0, 3
"c:\Users\kamil\Desktop\serious-game\game\src\main\AssetSetter.java", "Java", 0, 1, -5, -4
"c:\Users\kamil\Desktop\serious-game\game\src\main\GamePanel.java", "Java", 0, 5, 0, 5
"c:\Users\kamil\Desktop\serious-game\game\src\main\KeyHandler.java", "Java", 0, 1, 0, 1
"c:\Users\kamil\Desktop\serious-game\game\src\main\Score.java", "Java", 0, 2, 0, 2
"c:\Users\kamil\Desktop\serious-game\game\src\main\UI.java", "Java", 0, 1, 0, 1
"c:\Users\kamil\Desktop\serious-game\game\src\tile\TileManager.java", "Java", 0, 3, 0, 3
"Total", "-", 0, 16, -5, 11
